Name,Club,Country,Role,PLY Height,PLY Weight,PLY DoB,PLY Foot,PLY Birth Area,TME Area Name,Current Time,Age,Leagues
Matz Sels ,Strasbourg,Belgium,Goalkeeper,188,75,1992-02-26 00:00:00.000000,right,Belgium,France,2021-06-11 14:12:58.835670,29,France Leagues
Toby Alderweireld ,Tottenham,Belgium,Defender,187,91,1989-03-02 00:00:00.000000,right,Belgium,England,2021-06-11 14:12:58.835670,32,England Leagues
Dedryck Boyata ,Hertha Berlin,Belgium,Defender,188,84,1990-11-28 00:00:00.000000,right,Belgium,Germany,2021-06-11 14:12:58.835670,31,Germany Leagues
Timothy Castagne ,Leicester,Belgium,Defender,185,80,1995-12-05 00:00:00.000000,right,Belgium,England,2021-06-11 14:12:58.835670,26,England Leagues
Jason Denayer ,Lyon,Belgium,Defender,184,80,1995-06-28 00:00:00.000000,right,Belgium,France,2021-06-11 14:12:58.835670,26,France Leagues
Thomas Meunier ,Dortmund,Belgium,Defender,191,90,1991-09-12 00:00:00.000000,right,Belgium,Germany,2021-06-11 14:12:58.835670,30,Germany Leagues
Thomas Vermaelen ,Vissel Kobe,Belgium,Defender,183,80,1985-11-14 00:00:00.000000,left,Belgium,Japan,2021-06-11 14:12:58.835670,36,Japan Leagues
Jan Vertonghen ,Benfica,Belgium,Defender,189,88,1987-04-24 00:00:00.000000,left,Belgium,Portugal,2021-06-11 14:12:58.835670,34,Portugal Leagues
Nacer Chadli ,İstanbul Başakşehir,Belgium,Midfielder,187,80,1989-08-02 00:00:00.000000,right,Belgium,Turkey,2021-06-11 14:12:58.835670,32,Turkey Leagues
Yannick Carrasco ,Atlético Madrid,Belgium,Midfielder,185,73,1993-09-04 00:00:00.000000,right,Belgium,Spain,2021-06-11 14:12:58.835670,28,Spain Leagues
Kevin De Bruyne ,Manchester City,Belgium,Midfielder,181,68,1991-06-28 00:00:00.000000,right,Belgium,England,2021-06-11 14:12:58.835670,30,England Leagues
Leander Dendoncker ,Wolves,Belgium,Midfielder,188,76,1995-04-15 00:00:00.000000,right,Belgium,England,2021-06-11 14:12:58.835670,26,England Leagues
Eden Hazard ,Real Madrid,Belgium,Midfielder,175,74,1991-01-07 00:00:00.000000,right,Belgium,Spain,2021-06-11 14:12:58.835670,30,Spain Leagues
Thorgan Hazard ,Dortmund,Belgium,Midfielder,175,71,1993-03-29 00:00:00.000000,right,Belgium,Germany,2021-06-11 14:12:58.835670,28,Germany Leagues
Dennis Praet ,Leicester,Belgium,Midfielder,181,78,1994-05-14 00:00:00.000000,right,Belgium,England,2021-06-11 14:12:58.835670,27,England Leagues
Youri Tielemans ,Leicester,Belgium,Midfielder,176,72,1997-05-07 00:00:00.000000,right,Belgium,England,2021-06-11 14:12:58.835670,24,England Leagues
Hans Vanaken ,Club Brugge,Belgium,Midfielder,195,77,1992-08-24 00:00:00.000000,right,Belgium,Belgium,2021-06-11 14:12:58.835670,29,Belgium Leagues
Axel Witsel ,Dortmund,Belgium,Midfielder,186,81,1989-01-12 00:00:00.000000,right,Belgium,Germany,2021-06-11 14:12:58.835670,32,Germany Leagues
Michy Batshuayi ,Crystal Palace,Belgium,Forward,190,83,1990-12-03 00:00:00.000000,right,Congo DR,England,2021-06-11 14:12:58.835670,31,England Leagues
Christian Benteke ,Crystal Palace,Belgium,Forward,190,83,1990-12-03 00:00:00.000000,right,Congo DR,England,2021-06-11 14:12:58.835670,31,England Leagues
Jeremy Doku ,Rennes,Belgium,Forward,171,67,2002-05-27 00:00:00.000000,right,Belgium,France,2021-06-11 14:12:58.835670,19,France Leagues
Romelu Lukaku ,Inter Milan,Belgium,Forward,191,94,1993-05-13 00:00:00.000000,left,Belgium,Italy,2021-06-11 14:12:58.835670,28,Italy Leagues
Dries Mertens ,Napoli,Belgium,Forward,169,61,1987-05-06 00:00:00.000000,right,Belgium,Italy,2021-06-11 14:12:58.835670,34,Italy Leagues
Leandro Trossard ,Brighton,Belgium,Forward,172,63,1994-12-04 00:00:00.000000,right,Belgium,England,2021-06-11 14:12:58.835670,27,England Leagues
Lukas Hradecky ,Leverkusen,Finland,Goalkeeper,192,82,1989-11-24 00:00:00.000000,right,Slovakia,Germany,2021-06-11 14:12:58.835670,32,Germany Leagues
Anssi Jaakkola ,Bristol Rovers,Finland,Goalkeeper,193,88,1987-03-13 00:00:00.000000,right,Finland,England,2021-06-11 14:12:58.835670,34,England Leagues
Jesse Joronen ,Brescia,Finland,Goalkeeper,197,89,1993-03-21 00:00:00.000000,left,Finland,Italy,2021-06-11 14:12:58.835670,28,Italy Leagues
Paulus Arajuuri ,Pafos,Finland,Defender,193,92,1988-06-15 00:00:00.000000,right,Finland,Cyprus,2021-06-11 14:12:58.835670,33,Cyprus Leagues
Robert Ivanov ,Warta Poznań,Finland,Defender,197,83,1993-07-21 00:00:00.000000,right,Finland,Poland,2021-06-11 14:12:58.835670,28,Poland Leagues
Thomas Lam ,Zwolle,Finland,Defender,188,76,1993-12-18 00:00:00.000000,right,Netherlands,Netherlands,2021-06-11 14:12:58.835670,27,Netherlands Leagues
Daniel O’Shaughnessy ,HJK Helsinki,Finland,Defender,190,85,1994-09-14 00:00:00.000000,left,Finland,Finland,2021-06-11 14:12:58.835670,27,Finland Leagues
Jukka Raitala ,Minnesota United,Finland,Defender,181,76,1988-09-15 00:00:00.000000,left,Finland,United States,2021-06-11 14:12:58.835670,33,United States Leagues
Joona Toivio ,Häcken,Finland,Defender,186,87,1988-03-10 00:00:00.000000,right,Finland,Sweden,2021-06-11 14:12:58.835670,33,Sweden Leagues
Jere Uronen ,Genk,Finland,Defender,177,69,1994-07-13 00:00:00.000000,left,Finland,Belgium,2021-06-11 14:12:58.835670,27,Belgium Leagues
Leo Väisänen ,Elfsborg,Finland,Defender,186,80,1997-07-23 00:00:00.000000,right,Finland,Sweden,2021-06-11 14:12:58.835670,24,Sweden Leagues
Sauli Väisänen ,Chievo,Finland,Defender,188,77,1994-06-05 00:00:00.000000,right,Finland,Italy,2021-06-11 14:12:58.835670,27,Italy Leagues
Nikolai Alho ,MTK Budapest,Finland,Midfielder,172,76,1993-03-12 00:00:00.000000,left,Finland,Hungary,2021-06-11 14:12:58.835670,28,Hungary Leagues
Fredrik Jensen ,Augsburg,Finland,Midfielder,183,78,1997-09-09 00:00:00.000000,right,Finland,Germany,2021-06-11 14:12:58.835670,24,Germany Leagues
Glen Kamara ,Rangers,Finland,Midfielder,181,78,1995-10-28 00:00:00.000000,right,Sierra Leone,Scotland,2021-06-11 14:12:58.835670,26,Scotland Leagues
Joni Kauko ,Esbjerg,Finland,Midfielder,188,85,1990-07-12 00:00:00.000000,right,Finland,Denmark,2021-06-11 14:12:58.835670,31,Denmark Leagues
Robin Lod ,Minnesota United,Finland,Midfielder,181,82,1993-04-17 00:00:00.000000,left,Finland,United States,2021-06-11 14:12:58.835670,28,United States Leagues
Rasmus Schüller ,Djurgården,Finland,Midfielder,177,67,1991-06-18 00:00:00.000000,left,Finland,Sweden,2021-06-11 14:12:58.835670,30,Sweden Leagues
Pyry Soiri ,Esbjerg,Finland,Midfielder,183,63,1994-09-22 00:00:00.000000,right,Namibia,Denmark,2021-06-11 14:12:58.835670,27,Denmark Leagues
Tim Sparv ,Larissa,Finland,Midfielder,194,78,1987-02-20 00:00:00.000000,left,Finland,Greece,2021-06-11 14:12:58.835670,34,Greece Leagues
Robert Taylor ,Brann,Finland,Midfielder,182,78,1994-10-21 00:00:00.000000,right,Finland,Norway,2021-06-11 14:12:58.835670,27,Norway Leagues
Onni Valakari ,Pafos,Finland,Midfielder,187,82,1999-08-18 00:00:00.000000,left,Finland,Cyprus,2021-06-11 14:12:58.835670,22,Cyprus Leagues
Marcus Forss ,Brentford,Finland,Forward,182,73,1999-06-18 00:00:00.000000,right,Finland,England,2021-06-11 14:12:58.835670,22,England Leagues
Lassi Lappalainen ,Montréal,Finland,Forward,184,80,1998-08-24 00:00:00.000000,right,Finland,Canada,2021-06-11 14:12:58.835670,23,Canada Leagues
Joel Pohjanpalo ,Union Berlin,Finland,Forward,184,79,1994-09-13 00:00:00.000000,right,Finland,Germany,2021-06-11 14:12:58.835670,27,Germany Leagues
Teemu Pukki ,Norwich,Finland,Forward,180,73,1990-03-29 00:00:00.000000,right,Finland,England,2021-06-11 14:12:58.835670,31,England Leagues
Marco Bizot ,AZ,Netherlands,Goalkeeper,193,85,1991-03-10 00:00:00.000000,right,Netherlands,Netherlands,2021-06-11 14:12:58.835670,30,Netherlands Leagues
Tim Krul ,Norwich,Netherlands,Goalkeeper,188,84,1988-04-03 00:00:00.000000,left,Netherlands,England,2021-06-11 14:12:58.835670,33,England Leagues
Maarten Stekelenburg ,Ajax,Netherlands,Goalkeeper,197,92,1982-09-22 00:00:00.000000,right,Netherlands,Netherlands,2021-06-11 14:12:58.835670,39,Netherlands Leagues
Nathan Aké ,Manchester City,Netherlands,Defender,180,75,1995-02-18 00:00:00.000000,left,Côte d'Ivoire,England,2021-06-11 14:12:58.835670,26,England Leagues
Daley Blind ,Ajax,Netherlands,Defender,180,72,1990-03-09 00:00:00.000000,left,Netherlands,Netherlands,2021-06-11 14:12:58.835670,31,Netherlands Leagues
Matthijs de Ligt ,Juventus,Netherlands,Defender,187,80,1999-08-12 00:00:00.000000,right,Netherlands,Italy,2021-06-11 14:12:58.835670,22,Italy Leagues
Stefan de Vrij ,Inter Milan,Netherlands,Defender,189,78,1992-02-05 00:00:00.000000,right,Netherlands,Italy,2021-06-11 14:12:58.835670,29,Italy Leagues
Denzel Dumfries ,PSV,Netherlands,Defender,189,80,1996-04-18 00:00:00.000000,right,Aruba,Netherlands,2021-06-11 14:12:58.835670,25,Netherlands Leagues
Patrick van Aanholt ,Crystal Palace,Netherlands,Defender,176,74,1990-08-29 00:00:00.000000,left,Netherlands,England,2021-06-11 14:12:58.835670,31,England Leagues
Joël Veltman ,Brighton,Netherlands,Defender,184,75,1992-01-15 00:00:00.000000,right,Netherlands,England,2021-06-11 14:12:58.835670,29,England Leagues
Owen Wijndal ,AZ,Netherlands,Defender,176,69,1999-11-28 00:00:00.000000,left,Suriname,Netherlands,2021-06-11 14:12:58.835670,22,Netherlands Leagues
Frenkie de Jong ,Barcelona,Netherlands,Midfielder,180,74,1997-05-12 00:00:00.000000,right,Netherlands,Spain,2021-06-11 14:12:58.835670,24,Spain Leagues
Marten de Roon ,Atalanta,Netherlands,Midfielder,185,76,1991-03-29 00:00:00.000000,right,Netherlands,Italy,2021-06-11 14:12:58.835670,30,Italy Leagues
Ryan Gravenberch ,Ajax,Netherlands,Midfielder,190,77,2002-05-16 00:00:00.000000,right,Suriname,Netherlands,2021-06-11 14:12:58.835670,19,Netherlands Leagues
Davy Klaassen ,Ajax,Netherlands,Midfielder,185,70,1993-02-21 00:00:00.000000,right,Netherlands,Netherlands,2021-06-11 14:12:58.835670,28,Netherlands Leagues
Teun Koopmeiners ,AZ,Netherlands,Midfielder,183,71,1998-02-28 00:00:00.000000,left,Netherlands,Netherlands,2021-06-11 14:12:58.835670,23,Netherlands Leagues
Quincy Promes ,Spartak Moskva,Netherlands,Midfielder,174,70,1992-01-04 00:00:00.000000,right,Suriname,Russia,2021-06-11 14:12:58.835670,29,Russia Leagues
Jurriën Timber ,Ajax,Netherlands,Midfielder,190,77,2002-05-16 00:00:00.000000,right,Suriname,Netherlands,2021-06-11 14:12:58.835670,19,Netherlands Leagues
Donny van de Beek ,Manchester United,Netherlands,Midfielder,184,73,1997-04-18 00:00:00.000000,right,Netherlands,England,2021-06-11 14:12:58.835670,24,England Leagues
Georginio Wijnaldum ,Liverpool,Netherlands,Midfielder,175,74,1990-11-11 00:00:00.000000,right,Suriname,England,2021-06-11 14:12:58.835670,31,England Leagues
Steven Berghuis ,Feyenoord,Netherlands,Forward,182,75,1991-12-19 00:00:00.000000,left,Netherlands,Netherlands,2021-06-11 14:12:58.835670,29,Netherlands Leagues
Luuk de Jong ,Sevilla,Netherlands,Forward,188,86,1990-08-27 00:00:00.000000,right,Netherlands,Spain,2021-06-11 14:12:58.835670,31,Spain Leagues
Memphis Depay ,Lyon,Netherlands,Forward,176,78,1994-02-13 00:00:00.000000,right,Ghana,France,2021-06-11 14:12:58.835670,27,France Leagues
Cody Gakpo ,PSV,Netherlands,Forward,189,76,1999-05-07 00:00:00.000000,right,Netherlands,Netherlands,2021-06-11 14:12:58.835670,22,Netherlands Leagues
Donyell Malen ,PSV Eindhoven,Netherlands,Forward,179,78,1999-01-19 00:00:00.000000,right,Netherlands,Netherlands,2021-06-11 14:12:58.835670,22,Netherlands Leagues
Wout Weghorst ,Wolfsburg,Netherlands,Forward,197,84,1992-08-07 00:00:00.000000,right,Netherlands,Germany,2021-06-11 14:12:58.835670,29,Germany Leagues
Georgiy Bushchan ,Dynamo Kyiv,Ukraine,Goalkeeper,196,80,1994-05-31 00:00:00.000000,right,Ukraine,Ukraine,2021-06-11 14:12:58.835670,27,Ukraine Leagues
Andriy Pyatov ,Shakhtar Donetsk,Ukraine,Goalkeeper,190,90,1984-06-28 00:00:00.000000,right,Ukraine,Ukraine,2021-06-11 14:12:58.835670,37,Ukraine Leagues
Anatolii Trubin ,Shakhtar Donetsk,Ukraine,Goalkeeper,199,86,2001-08-01 00:00:00.000000,right,Ukraine,Ukraine,2021-06-11 14:12:58.835670,20,Ukraine Leagues
Eduard Sobol ,Club Brugge,Ukraine,Defender,181,73,1995-04-20 00:00:00.000000,left,Ukraine,Belgium,2021-06-11 14:12:58.835670,26,Belgium Leagues
Illia Zabarnyi ,Dynamo Kyiv,Ukraine,Defender,186,80,2002-09-01 00:00:00.000000,right,Ukraine,Ukraine,2021-06-11 14:12:58.835670,19,Ukraine Leagues
Serhiy Kryvtsov ,Shakhtar Donetsk,Ukraine,Defender,186,83,1991-03-15 00:00:00.000000,right,Ukraine,Ukraine,2021-06-11 14:12:58.835670,30,Ukraine Leagues
Denys Popov ,Dynamo Kyiv,Ukraine,Defender,0,0,2000-06-11 00:00:00.000000,left,Ukraine,Ukraine,2021-06-11 14:12:58.835670,21,Ukraine Leagues
Oleksandr Tymchyk ,Dynamo Kyiv,Ukraine,Defender,180,67,1997-01-20 00:00:00.000000,right,Ukraine,Ukraine,2021-06-11 14:12:58.835670,24,Ukraine Leagues
Vitaliy Mykolenko ,Dynamo Kyiv,Ukraine,Defender,180,71,1999-05-29 00:00:00.000000,left,Ukraine,Ukraine,2021-06-11 14:12:58.835670,22,Ukraine Leagues
Oleksandr Karavaev ,Dynamo Kyiv,Ukraine,Defender,0,0,2000-06-11 00:00:00.000000,left,Ukraine,Ukraine,2021-06-11 14:12:58.835670,21,Ukraine Leagues
Mykola Matviyenko ,Shakhtar Donetsk,Ukraine,Defender,182,74,1996-05-02 00:00:00.000000,left,Ukraine,Ukraine,2021-06-11 14:12:58.835670,25,Ukraine Leagues
Serhiy Sydorchuk ,Dynamo Kyiv,Ukraine,Midfielder,188,79,1991-05-02 00:00:00.000000,right,Ukraine,Ukraine,2021-06-11 14:12:58.835670,30,Ukraine Leagues
Ruslan Malinovskyi ,Atalanta,Ukraine,Midfielder,181,79,1993-05-04 00:00:00.000000,left,Ukraine,Italy,2021-06-11 14:12:58.835670,28,Italy Leagues
Mykola Shaparenko ,Dynamo Kyiv,Ukraine,Midfielder,178,72,1998-10-04 00:00:00.000000,right,Ukraine,Ukraine,2021-06-11 14:12:58.835670,23,Ukraine Leagues
Marlos ,Shakhtar Donetsk,Ukraine,Midfielder,174,69,1988-06-07 00:00:00.000000,left,Brazil,Ukraine,2021-06-11 14:12:58.835670,33,Ukraine Leagues
Yevhen Makarenko ,Kortrijk,Ukraine,Midfielder,186,82,1991-05-21 00:00:00.000000,left,Ukraine,Belgium,2021-06-11 14:12:58.835670,30,Belgium Leagues
Oleksandr Zinchenko ,Manchester City,Ukraine,Midfielder,175,64,1996-12-15 00:00:00.000000,left,Ukraine,England,2021-06-11 14:12:58.835670,25,England Leagues
Viktor Tsygankov ,Dynamo Kyiv,Ukraine,Midfielder,178,72,1998-10-04 00:00:00.000000,right,Ukraine,Ukraine,2021-06-11 14:12:58.835670,23,Ukraine Leagues
Taras Stepanenko ,Shakhtar Donetsk,Ukraine,Midfielder,174,69,1988-06-07 00:00:00.000000,left,Brazil,Ukraine,2021-06-11 14:12:58.835670,33,Ukraine Leagues
Andriy Yarmolenko ,West Ham,Ukraine,Midfielder,189,81,1989-10-23 00:00:00.000000,left,Ukraine,England,2021-06-11 14:12:58.835670,32,England Leagues
Oleksandr Zubkov ,Ferencváros,Ukraine,Midfielder,181,71,1996-08-03 00:00:00.000000,left,Ukraine,Hungary,2021-06-11 14:12:58.835670,25,Hungary Leagues
Heorhii Sudakov ,Shakhtar Donetsk,Ukraine,Midfielder,173,63,2002-09-01 00:00:00.000000,right,Ukraine,Ukraine,2021-06-11 14:12:58.835670,19,Ukraine Leagues
Roman Bezus ,Gent,Ukraine,Midfielder,185,78,1990-09-26 00:00:00.000000,right,Ukraine,Belgium,2021-06-11 14:12:58.835670,31,Belgium Leagues
Roman Yaremchuk ,Gent,Ukraine,Forward,186,78,1995-11-27 00:00:00.000000,right,Ukraine,Belgium,2021-06-11 14:12:58.835670,26,Belgium Leagues
Artem Besedin ,Dynamo Kyiv,Ukraine,Forward,185,76,1996-03-31 00:00:00.000000,right,Ukraine,Ukraine,2021-06-11 14:12:58.835670,25,Ukraine Leagues
Artem Dovbyk ,Dnipro-1,Ukraine,Forward,185,76,1997-06-21 00:00:00.000000,left,Ukraine,Ukraine,2021-06-11 14:12:58.835670,24,Ukraine Leagues
Daniel Bachmann ,Watford,Austria,Goalkeeper,191,81,1994-07-09 00:00:00.000000,right,Austria,England,2021-06-11 14:12:58.835670,27,England Leagues
Pavao Pervan ,Wolfsburg,Austria,Goalkeeper,194,92,1987-11-13 00:00:00.000000,right,Croatia,Germany,2021-06-11 14:12:58.835670,34,Germany Leagues
Alexander Schlager ,LASK,Austria,Goalkeeper,184,77,1996-02-01 00:00:00.000000,right,Austria,Austria,2021-06-11 14:12:58.835670,25,Austria Leagues
David Alaba ,Bayern,Austria,Defender,180,78,1992-06-24 00:00:00.000000,left,Austria,Germany,2021-06-11 14:12:58.835670,29,Germany Leagues
Aleksandar Dragović ,Leverkusen,Austria,Defender,186,85,1991-03-06 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,30,Germany Leagues
Marco Friedl ,Werder Bremen,Austria,Defender,187,82,1998-03-16 00:00:00.000000,left,Austria,Germany,2021-06-11 14:12:58.835670,23,Germany Leagues
Martin Hinteregger ,Frankfurt,Austria,Defender,184,83,1992-09-07 00:00:00.000000,left,Austria,Germany,2021-06-11 14:12:58.835670,29,Germany Leagues
Stefan Lainer ,Mönchengladbach,Austria,Defender,175,73,1992-08-27 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,29,Germany Leagues
Philipp Lienhart ,Freiburg,Austria,Defender,189,82,1996-07-11 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,25,Germany Leagues
Stefan Posch ,Hoffenheim,Austria,Defender,189,82,1997-05-14 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,24,Germany Leagues
Andreas Ulmer ,Salzburg,Austria,Defender,175,73,1985-10-30 00:00:00.000000,left,Austria,Austria,2021-06-11 14:12:58.835670,36,Austria Leagues
Julian Baumgartlinger ,Leverkusen,Austria,Midfielder,181,85,1988-01-02 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,33,Germany Leagues
Christoph Baumgartner ,Hoffenheim,Austria,Midfielder,180,71,1999-08-01 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,22,Germany Leagues
Florian Grillitsch ,Hoffenheim,Austria,Midfielder,187,77,1995-08-07 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,26,Germany Leagues
Stefan Ilsanker ,Frankfurt,Austria,Midfielder,190,86,1989-05-18 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,32,Germany Leagues
Konrad Laimer ,Leipzig,Austria,Midfielder,180,72,1997-05-27 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,24,Germany Leagues
Valentino Lazaro ,Internazionale,Austria,Midfielder,180,76,1996-03-24 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,25,Germany Leagues
Karim Onisiwo ,Mainz,Austria,Midfielder,188,76,1992-03-17 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,29,Germany Leagues
Marcel Sabitzer ,Leipzig,Austria,Midfielder,178,76,1994-03-17 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,27,Germany Leagues
Louis Schaub ,Luzern,Austria,Midfielder,177,76,1994-12-29 00:00:00.000000,right,Austria,Switzerland,2021-06-11 14:12:58.835670,26,Switzerland Leagues
Xaver Schlager ,Wolfsburg,Austria,Midfielder,174,73,1997-09-28 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,24,Germany Leagues
Alessandro Schöpf ,Schalke,Austria,Midfielder,178,74,1994-02-07 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,27,Germany Leagues
Christopher Trimmel ,Union Berlin,Austria,Midfielder,189,82,1987-02-24 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,34,Germany Leagues
Marko Arnautović ,Shanghai Port,Austria,Forward,192,83,1989-04-19 00:00:00.000000,right,Austria,China PR,2021-06-11 14:12:58.835670,32,China PR Leagues
Michael Gregoritsch ,Augsburg,Austria,Forward,193,91,1994-04-18 00:00:00.000000,left,Austria,Germany,2021-06-11 14:12:58.835670,27,Germany Leagues
Sasa Kalajdzic ,Stuttgart,Austria,Forward,200,76,1997-07-07 00:00:00.000000,right,Austria,Germany,2021-06-11 14:12:58.835670,24,Germany Leagues
Stole Dimitrievski ,Rayo Vallecano,North Macedonia,Goalkeeper,188,81,1993-12-25 00:00:00.000000,right,Macedonia FYR,Spain,2021-06-11 14:12:58.835670,27,Spain Leagues
Risto Jankov ,Rabotnicki,North Macedonia,Goalkeeper,190,92,1998-09-05 00:00:00.000000,right,Macedonia FYR,Macedonia FYR,2021-06-11 14:12:58.835670,23,Macedonia FYR Leagues
Damjan Siskovski ,Doxa Katokopia,North Macedonia,Goalkeeper,193,90,1995-03-18 00:00:00.000000,right,Macedonia FYR,Cyprus,2021-06-11 14:12:58.835670,26,Cyprus Leagues
Egzijan Alioski ,Leeds,North Macedonia,Defender,172,63,1992-02-12 00:00:00.000000,left,Macedonia FYR,England,2021-06-11 14:12:58.835670,29,England Leagues
Egzon Bejtulai ,Shkëndija,North Macedonia,Defender,179,71,1994-01-07 00:00:00.000000,right,Macedonia FYR,Macedonia FYR,2021-06-11 14:12:58.835670,27,Macedonia FYR Leagues
Visar Musliu ,Fehérvár,North Macedonia,Defender,186,75,1994-11-13 00:00:00.000000,right,Macedonia FYR,Hungary,2021-06-11 14:12:58.835670,27,Hungary Leagues
Kire Ristevski ,Újpest,North Macedonia,Defender,188,80,1990-10-22 00:00:00.000000,left,Macedonia FYR,Hungary,2021-06-11 14:12:58.835670,31,Hungary Leagues
Stefan Ristovski ,Dinamo Zagreb,North Macedonia,Defender,180,72,1992-02-12 00:00:00.000000,right,Macedonia FYR,Croatia,2021-06-11 14:12:58.835670,29,Croatia Leagues
Darko Velkovski ,Rijeka,North Macedonia,Defender,187,83,1995-06-21 00:00:00.000000,right,Macedonia FYR,Croatia,2021-06-11 14:12:58.835670,26,Croatia Leagues
Gjoko Zajkov ,Charleroi,North Macedonia,Defender,186,78,1995-02-10 00:00:00.000000,right,Macedonia FYR,Belgium,2021-06-11 14:12:58.835670,26,Belgium Leagues
Arijan Ademi ,Dinamo Zagreb,North Macedonia,Midfielder,185,79,1991-05-29 00:00:00.000000,right,Macedonia FYR,Croatia,2021-06-11 14:12:58.835670,30,Croatia Leagues
Enis Bardi ,Levante,North Macedonia,Midfielder,169,64,1995-07-02 00:00:00.000000,right,Macedonia FYR,Spain,2021-06-11 14:12:58.835670,26,Spain Leagues
Darko Churlinov ,Stuttgart,North Macedonia,Midfielder,180,73,2000-07-11 00:00:00.000000,right,Macedonia FYR,Germany,2021-06-11 14:12:58.835670,21,Germany Leagues
Eljif Elmas ,Napoli,North Macedonia,Midfielder,184,74,1999-09-24 00:00:00.000000,right,Macedonia FYR,Italy,2021-06-11 14:12:58.835670,22,Italy Leagues
Feran Hasani ,Partizani,North Macedonia,Midfielder,188,75,1990-06-18 00:00:00.000000,right,Macedonia FYR,Albania,2021-06-11 14:12:58.835670,31,Albania Leagues
Tihomir Kostadinov ,Ružomberok,North Macedonia,Midfielder,178,74,1996-03-04 00:00:00.000000,right,Macedonia FYR,Slovakia,2021-06-11 14:12:58.835670,25,Slovakia Leagues
Boban Nikolov ,Lecce,North Macedonia,Midfielder,180,75,1994-07-28 00:00:00.000000,right,Macedonia FYR,Italy,2021-06-11 14:12:58.835670,27,Italy Leagues
Milan Ristovski ,Spartak Trnava,North Macedonia,Midfielder,188,77,1998-04-08 00:00:00.000000,right,Macedonia FYR,Slovakia,2021-06-11 14:12:58.835670,23,Slovakia Leagues
Stefan Spirovski ,AEK Larnaca,North Macedonia,Midfielder,185,74,1990-08-23 00:00:00.000000,right,Macedonia FYR,Cyprus,2021-06-11 14:12:58.835670,31,Cyprus Leagues
Daniel Avramovski ,Kayserispor,North Macedonia,Forward,185,79,1995-02-20 00:00:00.000000,left,Macedonia FYR,Turkey,2021-06-11 14:12:58.835670,26,Turkey Leagues
Goran Pandev ,Genoa,North Macedonia,Forward,184,75,1983-07-27 00:00:00.000000,left,Macedonia FYR,Italy,2021-06-11 14:12:58.835670,38,Italy Leagues
Marjan Radeski ,Akademija Pandev,North Macedonia,Forward,180,72,1995-02-10 00:00:00.000000,right,Macedonia FYR,Macedonia FYR,2021-06-11 14:12:58.835670,26,Macedonia FYR Leagues
Vlatko Stojanovski ,Chambly,North Macedonia,Forward,186,78,1997-04-23 00:00:00.000000,right,Macedonia FYR,France,2021-06-11 14:12:58.835670,24,France Leagues
