Name,Club,Country,Role,PLY Height,PLY Weight,PLY DoB,PLY Foot,PLY Birth Area,TME Area Name,Current Time,Age,Leagues
Aleksandar Trajkovski ,Mallorca,North Macedonia,Forward,179,78,1992-09-05 00:00:00.000000,right,Macedonia FYR,Spain,2021-06-11 14:12:58.835670,29,Spain Leagues
Ivan Tričkovski ,AEK Larnaca,North Macedonia,Forward,182,79,1987-04-18 00:00:00.000000,right,Macedonia FYR,Cyprus,2021-06-11 14:12:58.835670,34,Cyprus Leagues
Krste Velkovski ,Sarajevo,North Macedonia,Forward,180,72,1988-02-20 00:00:00.000000,right,Macedonia FYR,Bosnia-Herzegovina,2021-06-11 14:12:58.835670,33,Bosnia-Herzegovina Leagues
Dean Henderson ,Manchester United,England,Goalkeeper,188,82,1997-03-12 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,24,England Leagues
Sam Johnstone ,West Bromwich Albion,England,Goalkeeper,193,85,1993-03-25 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,28,England Leagues
Jordan Pickford ,Everton,England,Goalkeeper,185,77,1994-03-07 00:00:00.000000,left,England,England,2021-06-11 14:12:58.835670,27,England Leagues
Ben Chilwell ,Chelsea,England,Defender,178,77,1996-12-21 00:00:00.000000,left,England,England,2021-06-11 14:12:58.835670,24,England Leagues
Ben White ,Brighton,England,Defender,182,72,1997-10-08 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,24,England Leagues
Conor Coady ,Wolves,England,Defender,186,80,1993-02-25 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,28,England Leagues
Reece James ,Chelsea,England,Defender,185,87,1999-12-08 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,22,England Leagues
Harry Maguire ,Manchester United,England,Defender,194,100,1993-03-05 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,28,England Leagues
Tyrone Mings ,Aston Villa,England,Defender,196,77,1993-03-13 00:00:00.000000,left,England,England,2021-06-11 14:12:58.835670,28,England Leagues
Luke Shaw ,Manchester United,England,Defender,185,75,1995-07-12 00:00:00.000000,left,England,England,2021-06-11 14:12:58.835670,26,England Leagues
John Stones ,Manchester City,England,Defender,188,75,1994-05-28 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,27,England Leagues
Kieran Trippier ,Atlético,England,Defender,173,69,1990-09-19 00:00:00.000000,right,England,Spain,2021-06-11 14:12:58.835670,31,Spain Leagues
Kyle Walker ,Manchester City,England,Defender,183,70,1990-05-28 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,31,England Leagues
Jude Bellingham ,Dortmund,England,Midfielder,180,75,2003-06-29 00:00:00.000000,right,England,Germany,2021-06-11 14:12:58.835670,18,Germany Leagues
Phil Foden ,Manchester City,England,Midfielder,175,68,2000-05-28 00:00:00.000000,left,England,England,2021-06-11 14:12:58.835670,21,England Leagues
Jack Grealish ,Aston Villa,England,Midfielder,0,0,2003-01-21 00:00:00.000000,,England,England,2021-06-11 14:12:58.835670,18,England Leagues
Jordan Henderson ,Liverpool,England,Midfielder,182,67,1990-06-17 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,31,England Leagues
Mason Mount ,Chelsea,England,Midfielder,178,70,1999-01-10 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,22,England Leagues
Kalvin Phillips ,Leeds United,England,Midfielder,178,72,1995-12-02 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,26,England Leagues
Declan Rice ,West Ham,England,Midfielder,185,80,1999-01-14 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,22,England Leagues
Bukayo Saka ,Arsenal,England,Midfielder,178,70,2001-09-05 00:00:00.000000,left,England,England,2021-06-11 14:12:58.835670,20,England Leagues
Jadon Sancho ,Dortmund,England,Midfielder,180,76,2000-03-25 00:00:00.000000,right,England,Germany,2021-06-11 14:12:58.835670,21,Germany Leagues
Dominic Calvert-Lewin ,Everton,England,Forward,187,74,1997-03-16 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,24,England Leagues
Harry Kane ,Tottenham,England,Forward,188,86,1993-07-28 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,28,England Leagues
Marcus Rashford ,Manchester United,England,Forward,187,72,1997-10-31 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,24,England Leagues
Raheem Sterling ,Manchester City,England,Forward,170,69,1994-12-08 00:00:00.000000,right,Jamaica,England,2021-06-11 14:12:58.835670,27,England Leagues
Craig Gordon ,Hearts,Scotland,Goalkeeper,193,83,1982-12-31 00:00:00.000000,right,Scotland,Scotland,2021-06-11 14:12:58.835670,38,Scotland Leagues
David Marshall ,Derby,Scotland,Goalkeeper,190,83,1985-03-05 00:00:00.000000,right,Scotland,England,2021-06-11 14:12:58.835670,36,England Leagues
Jon McLaughlin ,Rangers,Scotland,Goalkeeper,191,83,1987-09-09 00:00:00.000000,right,Scotland,Scotland,2021-06-11 14:12:58.835670,34,Scotland Leagues
Liam Cooper ,Leeds,Scotland,Defender,180,73,1991-08-30 00:00:00.000000,left,Scotland,England,2021-06-11 14:12:58.835670,30,England Leagues
Declan Gallagher ,Motherwell,Scotland,Defender,196,93,1991-02-13 00:00:00.000000,right,Scotland,Scotland,2021-06-11 14:12:58.835670,30,Scotland Leagues
Grant Hanley ,Norwich,Scotland,Defender,187,76,1991-11-20 00:00:00.000000,right,Scotland,England,2021-06-11 14:12:58.835670,30,England Leagues
Jack Hendry ,Celtic,Scotland,Defender,194,86,1995-05-07 00:00:00.000000,right,Scotland,Belgium,2021-06-11 14:12:58.835670,26,Belgium Leagues
Scott McKenna ,Nottingham Forest,Scotland,Defender,189,80,1996-11-12 00:00:00.000000,left,Scotland,England,2021-06-11 14:12:58.835670,25,England Leagues
Stephen O’Donnell ,Motherwell,Scotland,Defender,183,74,1992-05-11 00:00:00.000000,right,Ireland Republic,Scotland,2021-06-11 14:12:58.835670,29,Scotland Leagues
Nathan Patterson ,Rangers,Scotland,Defender,183,79,2001-10-16 00:00:00.000000,right,Scotland,Scotland,2021-06-11 14:12:58.835670,20,Scotland Leagues
Andy Robertson ,Liverpool,Scotland,Defender,178,63,1994-03-11 00:00:00.000000,left,Scotland,England,2021-06-11 14:12:58.835670,27,England Leagues
Greg Taylor ,Celtic,Scotland,Defender,173,62,1997-11-04 00:00:00.000000,left,Scotland,Scotland,2021-06-11 14:12:58.835670,24,Scotland Leagues
Kieran Tierney ,Arsenal,Scotland,Defender,178,70,1997-06-05 00:00:00.000000,left,Scotland,England,2021-06-11 14:12:58.835670,24,England Leagues
Stuart Armstrong ,Southampton,Scotland,Midfielder,184,73,1992-03-30 00:00:00.000000,right,Scotland,England,2021-06-11 14:12:58.835670,29,England Leagues
Ryan Christie ,Celtic,Scotland,Midfielder,178,79,1995-02-22 00:00:00.000000,right,Scotland,Scotland,2021-06-11 14:12:58.835670,26,Scotland Leagues
John Fleck ,Sheffield United,Scotland,Midfielder,172,72,1991-08-24 00:00:00.000000,left,Scotland,England,2021-06-11 14:12:58.835670,30,England Leagues
James Forrest ,Celtic,Scotland,Midfielder,175,67,1991-07-07 00:00:00.000000,right,Scotland,Scotland,2021-06-11 14:12:58.835670,30,Scotland Leagues
Ryan Fraser ,Newcastle United,Scotland,Midfielder,163,62,1994-02-24 00:00:00.000000,right,Scotland,England,2021-06-11 14:12:58.835670,27,England Leagues
Billy Gilmour ,Chelsea,Scotland,Midfielder,170,66,2001-06-11 00:00:00.000000,right,Scotland,England,2021-06-11 14:12:58.835670,20,England Leagues
John McGinn ,Aston Villa,Scotland,Midfielder,178,68,1994-10-18 00:00:00.000000,left,Scotland,England,2021-06-11 14:12:58.835670,27,England Leagues
Callum McGregor ,Celtic,Scotland,Midfielder,178,67,1993-06-14 00:00:00.000000,left,Scotland,Scotland,2021-06-11 14:12:58.835670,28,Scotland Leagues
Scott McTominay ,Manchester United,Scotland,Midfielder,193,88,1996-12-08 00:00:00.000000,right,Scotland,England,2021-06-11 14:12:58.835670,25,England Leagues
David Turnbull ,Celtic,Scotland,Midfielder,185,75,1999-07-10 00:00:00.000000,right,Scotland,Scotland,2021-06-11 14:12:58.835670,22,Scotland Leagues
Ché Adams ,Southampton,Scotland,Forward,175,70,1996-07-13 00:00:00.000000,right,England,England,2021-06-11 14:12:58.835670,25,England Leagues
Lyndon Dykes ,QPR,Scotland,Forward,188,84,1995-10-07 00:00:00.000000,right,Scotland,England,2021-06-11 14:12:58.835670,26,England Leagues
Kevin Nisbet ,Hibernian,Scotland,Forward,180,77,1997-03-08 00:00:00.000000,right,Scotland,Scotland,2021-06-11 14:12:58.835670,24,Scotland Leagues
Dominik Livaković ,Dinamo Zagreb,Croatia,Goalkeeper,187,79,1995-01-09 00:00:00.000000,right,Croatia,Croatia,2021-06-11 14:12:58.835670,26,Croatia Leagues
Lovre Kalinić ,Hajduk Split,Croatia,Goalkeeper,201,96,1990-04-03 00:00:00.000000,right,Croatia,Croatia,2021-06-11 14:12:58.835670,31,Croatia Leagues
Simon Sluga ,Luton,Croatia,Goalkeeper,185,81,1993-03-17 00:00:00.000000,right,Croatia,England,2021-06-11 14:12:58.835670,28,England Leagues
Borna Barišić ,Rangers,Croatia,Defender,186,80,1992-11-10 00:00:00.000000,left,Croatia,Scotland,2021-06-11 14:12:58.835670,29,Scotland Leagues
Domagoj Bradarić ,LOSC Lille,Croatia,Defender,178,69,1999-12-10 00:00:00.000000,left,Croatia,France,2021-06-11 14:12:58.835670,22,France Leagues
Duje Ćaleta-Car ,Marseille,Croatia,Defender,192,89,1996-09-17 00:00:00.000000,right,Croatia,France,2021-06-11 14:12:58.835670,25,France Leagues
Joško Gvardiol ,Leipzig,Croatia,Defender,185,82,2002-01-23 00:00:00.000000,left,Croatia,Croatia,2021-06-11 14:12:58.835670,19,Croatia Leagues
Josip Juranović ,Legia Warszawa,Croatia,Defender,173,69,1995-08-16 00:00:00.000000,right,Croatia,Poland,2021-06-11 14:12:58.835670,26,Poland Leagues
Dejan Lovren ,Zenit,Croatia,Defender,188,84,1989-07-05 00:00:00.000000,both,Croatia,Russia,2021-06-11 14:12:58.835670,32,Russia Leagues
Mile Škorić ,Osijek,Croatia,Defender,187,80,1991-06-19 00:00:00.000000,right,Croatia,Croatia,2021-06-11 14:12:58.835670,30,Croatia Leagues
Domagoj Vida ,Beşiktaş,Croatia,Defender,184,76,1989-04-29 00:00:00.000000,right,Croatia,Turkey,2021-06-11 14:12:58.835670,32,Turkey Leagues
Šime Vrsaljko ,Atlético Madrid,Croatia,Defender,181,76,1992-01-10 00:00:00.000000,right,Croatia,Spain,2021-06-11 14:12:58.835670,29,Spain Leagues
Mateo Kovačić ,Chelsea,Croatia,Midfielder,176,80,1994-05-06 00:00:00.000000,right,Croatia,England,2021-06-11 14:12:58.835670,27,England Leagues
Luka Modrić ,Real Madrid,Croatia,Midfielder,172,66,1985-09-09 00:00:00.000000,right,Croatia,Spain,2021-06-11 14:12:58.835670,36,Spain Leagues
Marcelo Brozović ,Inter Milan,Croatia,Midfielder,181,68,1992-11-16 00:00:00.000000,right,Croatia,Italy,2021-06-11 14:12:58.835670,29,Italy Leagues
Milan Badelj ,Genoa,Croatia,Midfielder,186,76,1989-02-25 00:00:00.000000,right,Croatia,Italy,2021-06-11 14:12:58.835670,32,Italy Leagues
Nikola Vlašić ,CSKA Moskva,Croatia,Midfielder,178,79,1997-10-04 00:00:00.000000,right,Croatia,Russia,2021-06-11 14:12:58.835670,24,Russia Leagues
Mario Pašalić ,Atalanta,Croatia,Midfielder,188,82,1995-02-09 00:00:00.000000,right,Croatia,Italy,2021-06-11 14:12:58.835670,26,Italy Leagues
Ivan Perišić ,Inter Milan,Croatia,Midfielder,186,80,1989-02-02 00:00:00.000000,both,Croatia,Italy,2021-06-11 14:12:58.835670,32,Italy Leagues
Mislav Oršić ,Dinamo Zagreb,Croatia,Midfielder,179,75,1998-01-17 00:00:00.000000,left,Croatia,Croatia,2021-06-11 14:12:58.835670,23,Croatia Leagues
Luka Ivanušec ,Dinamo Zagreb,Croatia,Midfielder,175,76,1998-11-26 00:00:00.000000,right,Croatia,Croatia,2021-06-11 14:12:58.835670,23,Croatia Leagues
Josip Brekalo ,Wolfsburg,Croatia,Forward,175,70,1998-06-23 00:00:00.000000,right,Croatia,Germany,2021-06-11 14:12:58.835670,23,Germany Leagues
Ante Budimir ,Osasuna,Croatia,Forward,190,75,1991-07-21 00:00:00.000000,left,Bosnia-Herzegovina,Spain,2021-06-11 14:12:58.835670,30,Spain Leagues
Andrej Kramarić ,Hoffenheim,Croatia,Forward,177,73,1991-06-19 00:00:00.000000,right,Croatia,Germany,2021-06-11 14:12:58.835670,30,Germany Leagues
Bruno Petković ,Dinamo Zagreb,Croatia,Forward,193,88,1994-09-16 00:00:00.000000,right,Croatia,Croatia,2021-06-11 14:12:58.835670,27,Croatia Leagues
Ante Rebić ,AC Milan,Croatia,Forward,185,78,1993-09-21 00:00:00.000000,right,Croatia,Italy,2021-06-11 14:12:58.835670,28,Italy Leagues
Aleš Mandous ,Olomouc,Czech Republic,Goalkeeper,188,85,1992-04-21 00:00:00.000000,left,Czech Republic,Czech Republic,2021-06-11 14:12:58.835670,29,Czech Republic Leagues
Jiří Pavlenka ,Werder Bremen,Czech Republic,Goalkeeper,196,81,1992-04-14 00:00:00.000000,right,Czech Republic,Germany,2021-06-11 14:12:58.835670,29,Germany Leagues
Tomáš Vaclík ,Sevilla,Czech Republic,Goalkeeper,188,85,1989-03-29 00:00:00.000000,right,Czech Republic,Spain,2021-06-11 14:12:58.835670,32,Spain Leagues
Jan Bořil ,Slavia Praha,Czech Republic,Defender,175,75,1991-01-11 00:00:00.000000,right,Czech Republic,Czech Republic,2021-06-11 14:12:58.835670,30,Czech Republic Leagues
Jakub Brabec ,Viktoria Plzeň,Czech Republic,Defender,187,79,1992-08-06 00:00:00.000000,right,Czech Republic,Czech Republic,2021-06-11 14:12:58.835670,29,Czech Republic Leagues
Ondřej Čelůstka ,Sparta Praha,Czech Republic,Defender,186,80,1989-06-18 00:00:00.000000,right,Czech Republic,Czech Republic,2021-06-11 14:12:58.835670,32,Czech Republic Leagues
Vladimír Coufal ,West Ham,Czech Republic,Defender,175,76,1992-08-22 00:00:00.000000,right,Czech Republic,England,2021-06-11 14:12:58.835670,29,England Leagues
Pavel Kadeřábek ,Hoffenheim,Czech Republic,Defender,182,81,1992-04-25 00:00:00.000000,right,Czech Republic,Germany,2021-06-11 14:12:58.835670,29,Germany Leagues
Tomáš Kalas ,Bristol City,Czech Republic,Defender,183,80,1993-05-15 00:00:00.000000,right,Czech Republic,England,2021-06-11 14:12:58.835670,28,England Leagues
Tomáš Holeš ,Slavia Praha,Czech Republic,Defender,180,73,1993-03-31 00:00:00.000000,right,Czech Republic,Czech Republic,2021-06-11 14:12:58.835670,28,Czech Republic Leagues
Aleš Matějů ,Brescia,Czech Republic,Defender,185,84,1996-06-03 00:00:00.000000,right,Czech Republic,Italy,2021-06-11 14:12:58.835670,25,Italy Leagues
David Zima ,Slavia Praha,Czech Republic,Defender,175,75,1991-01-11 00:00:00.000000,right,Czech Republic,Czech Republic,2021-06-11 14:12:58.835670,30,Czech Republic Leagues
Antonín Barák ,Verona,Czech Republic,Midfielder,190,86,1994-12-03 00:00:00.000000,left,Czech Republic,Italy,2021-06-11 14:12:58.835670,27,Italy Leagues
Vladimír Darida ,Hertha Berlin,Czech Republic,Midfielder,172,67,1990-08-08 00:00:00.000000,right,Czech Republic,Germany,2021-06-11 14:12:58.835670,31,Germany Leagues
Jakub Jankto ,Sampdoria,Czech Republic,Midfielder,184,74,1996-01-19 00:00:00.000000,left,Czech Republic,Italy,2021-06-11 14:12:58.835670,25,Italy Leagues
Alex Král ,Spartak Moskva,Czech Republic,Midfielder,186,76,1998-05-19 00:00:00.000000,right,Czech Republic,Russia,2021-06-11 14:12:58.835670,23,Russia Leagues
Lukáš Masopust ,Slavia Praha,Czech Republic,Midfielder,179,76,1993-02-12 00:00:00.000000,right,Czech Republic,Czech Republic,2021-06-11 14:12:58.835670,28,Czech Republic Leagues
Jakub Pešek ,Sparta Praha,Czech Republic,Midfielder,187,84,1999-04-20 00:00:00.000000,left,Czech Republic,Czech Republic,2021-06-11 14:12:58.835670,22,Czech Republic Leagues
Michal Sadílek ,Liberec,Czech Republic,Midfielder,169,61,1999-05-31 00:00:00.000000,left,Czech Republic,Czech Republic,2021-06-11 14:12:58.835670,22,Czech Republic Leagues
Petr Ševčík ,Slavia Praha,Czech Republic,Midfielder,172,66,1994-05-04 00:00:00.000000,right,Czech Republic,Czech Republic,2021-06-11 14:12:58.835670,27,Czech Republic Leagues
Tomáš Souček ,West Ham,Czech Republic,Midfielder,192,86,1995-02-27 00:00:00.000000,right,Czech Republic,England,2021-06-11 14:12:58.835670,26,England Leagues
Adam Hložek ,Sparta Praha,Czech Republic,Forward,185,80,2002-07-25 00:00:00.000000,right,Czech Republic,Czech Republic,2021-06-11 14:12:58.835670,19,Czech Republic Leagues
Michael Krmenčík ,PAOK,Czech Republic,Forward,191,93,1993-03-15 00:00:00.000000,right,Czech Republic,Greece,2021-06-11 14:12:58.835670,28,Greece Leagues
Tomáš Pekhart ,Legia,Czech Republic,Forward,194,91,1989-05-26 00:00:00.000000,right,Czech Republic,Poland,2021-06-11 14:12:58.835670,32,Poland Leagues
Patrik Schick ,Leverkusen,Czech Republic,Forward,187,73,1996-01-24 00:00:00.000000,left,Czech Republic,Germany,2021-06-11 14:12:58.835670,25,Germany Leagues
Matěj Vydra ,Burnley,Czech Republic,Forward,180,71,1992-05-01 00:00:00.000000,right,Czech Republic,England,2021-06-11 14:12:58.835670,29,England Leagues
David de Gea ,Manchester United,Spain,Goalkeeper,193,82,1990-11-07 00:00:00.000000,right,Spain,England,2021-06-11 14:12:58.835670,31,England Leagues
Unai Simón ,Athletic,Spain,Goalkeeper,190,89,1997-06-11 00:00:00.000000,right,Spain,Spain,2021-06-11 14:12:58.835670,24,Spain Leagues
Robert Sánchez ,Brighton & Hove Albion,Spain,Goalkeeper,197,85,1997-11-18 00:00:00.000000,right,Spain,England,2021-06-11 14:12:58.835670,24,England Leagues
José Gayà ,Valencia,Spain,Defender,172,66,1995-05-25 00:00:00.000000,left,Spain,Spain,2021-06-11 14:12:58.835670,26,Spain Leagues
Jordi Alba ,Barcelona,Spain,Defender,170,68,1989-03-21 00:00:00.000000,left,Spain,Spain,2021-06-11 14:12:58.835670,32,Spain Leagues
Pau Torres ,Villarreal,Spain,Defender,191,80,1997-01-16 00:00:00.000000,left,Spain,Spain,2021-06-11 14:12:58.835670,24,Spain Leagues
Aymeric Laporte ,Manchester City,Spain,Defender,191,86,1994-05-27 00:00:00.000000,left,France,England,2021-06-11 14:12:58.835670,27,England Leagues
Eric García ,Manchester City,Spain,Defender,182,76,2001-01-09 00:00:00.000000,right,Spain,England,2021-06-11 14:12:58.835670,20,England Leagues
Diego Llorente ,Leeds United,Spain,Defender,186,76,1993-08-16 00:00:00.000000,right,Spain,England,2021-06-11 14:12:58.835670,28,England Leagues
César Azpilicueta ,Chelsea,Spain,Defender,178,77,1989-08-28 00:00:00.000000,right,Spain,England,2021-06-11 14:12:58.835670,32,England Leagues
Marcos Llorente ,Atlético,Spain,Defender,184,74,1995-01-30 00:00:00.000000,right,Spain,Spain,2021-06-11 14:12:58.835670,26,Spain Leagues
Sergio Busquets ,Barcelona,Spain,Midfielder,189,76,1988-07-16 00:00:00.000000,right,Spain,Spain,2021-06-11 14:12:58.835670,33,Spain Leagues
Rodri Hernández ,Manchester City,Spain,Midfielder,191,82,1996-06-22 00:00:00.000000,right,Spain,England,2021-06-11 14:12:58.835670,25,England Leagues
Pedri ,Barcelona,Spain,Midfielder,174,60,2002-11-25 00:00:00.000000,right,Spain,Spain,2021-06-11 14:12:58.835670,19,Spain Leagues
Thiago Alcántara ,Liverpool,Spain,Midfielder,174,70,1991-04-11 00:00:00.000000,right,Spain,England,2021-06-11 14:12:58.835670,30,England Leagues
Koke ,Atlético,Spain,Midfielder,176,75,1992-01-08 00:00:00.000000,right,Spain,Spain,2021-06-11 14:12:58.835670,29,Spain Leagues
Fabián Ruiz ,Napoli,Spain,Midfielder,189,70,1996-04-03 00:00:00.000000,left,Spain,Italy,2021-06-11 14:12:58.835670,25,Italy Leagues
Dani Olmo ,Leipzig,Spain,Forward,179,72,1998-05-07 00:00:00.000000,right,Spain,Germany,2021-06-11 14:12:58.835670,23,Germany Leagues
Mikel Oyarzabal ,Real Sociedad,Spain,Forward,181,79,1997-04-21 00:00:00.000000,left,Spain,Spain,2021-06-11 14:12:58.835670,24,Spain Leagues
Gerard Moreno ,Villarreal,Spain,Forward,180,77,1992-04-07 00:00:00.000000,left,Spain,Spain,2021-06-11 14:12:58.835670,29,Spain Leagues
Álvaro Morata ,Juventus,Spain,Forward,189,85,1992-10-23 00:00:00.000000,right,Spain,Italy,2021-06-11 14:12:58.835670,29,Italy Leagues
Ferran Torres ,Manchester City,Spain,Forward,184,77,2000-02-29 00:00:00.000000,right,Spain,England,2021-06-11 14:12:58.835670,21,England Leagues
Adama Traoré ,Wolves,Spain,Forward,178,72,1996-01-25 00:00:00.000000,right,Spain,England,2021-06-11 14:12:58.835670,25,England Leagues
Pablo Sarabia ,PSG,Spain,Forward,174,70,1992-05-11 00:00:00.000000,left,Spain,France,2021-06-11 14:12:58.835670,29,France Leagues
Karl-Johan Johnsson ,København,Sweden,Goalkeeper,189,84,1990-01-28 00:00:00.000000,right,Sweden,Denmark,2021-06-11 14:12:58.835670,31,Denmark Leagues
Kristoffer Nordfeldt ,Gençlerbirliği,Sweden,Goalkeeper,190,85,1989-06-23 00:00:00.000000,right,Sweden,Turkey,2021-06-11 14:12:58.835670,32,Turkey Leagues
Robin Olsen ,Everton,Sweden,Goalkeeper,196,86,1990-01-08 00:00:00.000000,right,Sweden,England,2021-06-11 14:12:58.835670,31,England Leagues
Emil Krafth ,Newcastle United,Sweden,Defender,184,83,1994-08-02 00:00:00.000000,right,Sweden,England,2021-06-11 14:12:58.835670,27,England Leagues
Victor Lindelöf ,Manchester United,Sweden,Defender,187,81,1994-07-17 00:00:00.000000,right,Sweden,England,2021-06-11 14:12:58.835670,27,England Leagues
Marcus Danielson ,Dalian Yifang,Sweden,Defender,192,81,1989-04-08 00:00:00.000000,right,Sweden,China PR,2021-06-11 14:12:58.835670,32,China PR Leagues
Pierre Bengtsson ,Vejle,Sweden,Defender,175,72,1988-04-12 00:00:00.000000,left,Sweden,Denmark,2021-06-11 14:12:58.835670,33,Denmark Leagues
Ludwig Augustinsson ,Werder Bremen,Sweden,Defender,181,76,1994-04-21 00:00:00.000000,left,Sweden,Germany,2021-06-11 14:12:58.835670,27,Germany Leagues
Pontus Jansson ,Brentford,Sweden,Defender,194,86,1991-02-13 00:00:00.000000,right,Sweden,England,2021-06-11 14:12:58.835670,30,England Leagues
Filip Helander ,Rangers,Sweden,Defender,192,84,1993-04-22 00:00:00.000000,left,Sweden,Scotland,2021-06-11 14:12:58.835670,28,Scotland Leagues
Mikael Lustig ,AIK,Sweden,Defender,189,77,1986-12-13 00:00:00.000000,right,Sweden,Sweden,2021-06-11 14:12:58.835670,35,Sweden Leagues
Andreas Granqvist ,Helsingborg,Sweden,Defender,192,84,1985-04-16 00:00:00.000000,right,Sweden,Sweden,2021-06-11 14:12:58.835670,36,Sweden Leagues
Emil Forsberg ,Leipzig,Sweden,Midfielder,177,76,1991-10-23 00:00:00.000000,right,Sweden,Germany,2021-06-11 14:12:58.835670,30,Germany Leagues
Ken Sema ,Watford,Sweden,Midfielder,180,69,1993-09-30 00:00:00.000000,left,Sweden,England,2021-06-11 14:12:58.835670,28,England Leagues
Viktor Claesson ,Krasnodar,Sweden,Midfielder,183,79,1992-01-02 00:00:00.000000,right,Sweden,Russia,2021-06-11 14:12:58.835670,29,Russia Leagues
Dejan Kulusevski ,Juventus,Sweden,Midfielder,186,79,2000-04-25 00:00:00.000000,left,Sweden,Italy,2021-06-11 14:12:58.835670,21,Italy Leagues
Sebastian Larsson ,AIK,Sweden,Midfielder,177,74,1985-06-06 00:00:00.000000,right,Sweden,Sweden,2021-06-11 14:12:58.835670,36,Sweden Leagues
Albin Ekdal ,Sampdoria,Sweden,Midfielder,186,82,1989-07-28 00:00:00.000000,right,Sweden,Italy,2021-06-11 14:12:58.835670,32,Italy Leagues
Kristoffer Olsson ,Krasnodar,Sweden,Midfielder,178,70,1995-06-30 00:00:00.000000,right,Sweden,Russia,2021-06-11 14:12:58.835670,26,Russia Leagues
Jens-Lys Cajuste ,Midtjylland,Sweden,Midfielder,188,77,1999-08-10 00:00:00.000000,right,Sweden,Denmark,2021-06-11 14:12:58.835670,22,Denmark Leagues
Mattias Svanberg ,Bologna,Sweden,Midfielder,185,77,1999-01-05 00:00:00.000000,right,Sweden,Italy,2021-06-11 14:12:58.835670,22,Italy Leagues
Gustav Svensson ,Guangzhou,Sweden,Midfielder,184,83,1987-02-07 00:00:00.000000,right,Sweden,China PR,2021-06-11 14:12:58.835670,34,China PR Leagues
Marcus Berg ,Krasnodar,Sweden,Forward,183,76,1986-08-17 00:00:00.000000,right,Sweden,Russia,2021-06-11 14:12:58.835670,35,Russia Leagues
